page title,userid,timestamp
A Song of Ice and Fire,0,2013-10-22T02:02:24Z
A Song of Ice and Fire,0,2013-10-22T01:58:09Z
A Song of Ice and Fire,0,2013-10-21T19:49:14Z
A Song of Ice and Fire,0,2013-10-21T19:44:15Z
A Song of Ice and Fire,19926389,2013-10-16T14:35:08Z
A Song of Ice and Fire,4358889,2013-10-12T14:11:18Z
A Song of Ice and Fire,0,2013-10-12T12:07:50Z
A Song of Ice and Fire,14855375,2013-10-07T00:06:03Z
A Song of Ice and Fire,19869469,2013-10-06T06:14:30Z
A Song of Ice and Fire,0,2013-10-04T11:08:47Z
A Song of Ice and Fire,0,2013-09-30T13:36:44Z
A Song of Ice and Fire,0,2013-09-29T23:46:51Z
A Song of Ice and Fire,0,2013-09-16T04:31:26Z
A Song of Ice and Fire,993542,2013-09-16T02:57:50Z
A Song of Ice and Fire,0,2013-09-14T14:10:51Z
A Song of Ice and Fire,0,2013-09-05T09:13:54Z
A Song of Ice and Fire,0,2013-09-05T08:23:06Z
A Song of Ice and Fire,0,2013-08-28T19:35:50Z
A Song of Ice and Fire,8511321,2013-08-16T16:12:19Z
A Song of Ice and Fire,0,2013-08-16T08:29:36Z
A Song of Ice and Fire,0,2013-08-08T09:01:33Z
A Song of Ice and Fire,7328338,2013-08-01T05:51:19Z
A Song of Ice and Fire,8511321,2013-07-30T23:47:25Z
A Song of Ice and Fire,8511321,2013-07-28T16:54:45Z
A Song of Ice and Fire,1766566,2013-07-28T00:37:59Z
A Song of Ice and Fire,19417484,2013-07-27T21:11:51Z
