userid	timestamp
194203	2011-12-05T07:26:52Z
194203	2011-12-05T07:26:35Z
194203	2011-12-05T07:26:19Z
0	2011-12-01T08:17:55Z
0	2011-12-01T00:48:16Z
2943446	2011-11-27T19:44:18Z
2943446	2011-11-27T19:34:49Z
2943446	2011-11-27T19:01:42Z
2943446	2011-11-27T18:47:57Z
1152308	2011-11-25T20:56:27Z
0	2011-11-25T18:40:13Z
0	2011-11-25T18:33:24Z
9021902	2011-11-23T00:17:36Z
4358889	2011-11-17T21:29:47Z
0	2011-11-17T19:37:43Z
0	2011-11-16T17:55:08Z
1495172	2011-11-10T19:06:50Z
0	2011-11-10T19:03:21Z
0	2011-11-09T17:43:15Z
0	2011-11-09T09:43:27Z
0	2011-11-07T06:26:35Z
14196545	2011-11-07T02:39:13Z
15654860	2011-11-03T11:26:43Z
0	2011-11-03T02:16:22Z
0	2011-11-02T07:33:21Z
0	2011-11-02T00:26:27Z
0	2011-11-01T18:34:29Z
0	2011-10-31T11:45:01Z
0	2011-10-28T23:06:21Z
0	2011-10-27T01:42:24Z
7168204	2011-10-25T21:07:20Z
7168204	2011-10-25T21:05:49Z
14204719	2011-10-22T16:17:43Z
0	2011-10-18T04:15:18Z
0	2011-10-17T04:54:39Z
82835	2011-10-14T17:33:33Z
118799	2011-10-14T04:52:07Z
118799	2011-10-14T04:51:47Z
0	2011-10-12T02:09:29Z
13585768	2011-10-11T08:21:09Z
0	2011-10-11T04:11:21Z
0	2011-10-06T13:56:39Z
359256	2011-10-01T14:59:37Z
11292982	2011-09-30T13:02:11Z
9021902	2011-09-30T09:21:10Z
6917606	2011-09-24T17:56:58Z
1593792	2011-09-20T00:22:33Z
6657615	2011-09-19T22:46:33Z
6657615	2011-09-19T21:54:52Z
0	2011-09-19T21:48:17Z
0	2011-09-19T21:43:50Z
0	2011-09-19T21:41:09Z
115776	2011-09-18T03:01:58Z
6657615	2011-09-17T09:17:24Z
87591	2011-09-17T08:47:21Z
0	2011-09-17T08:37:28Z
87591	2011-09-17T05:57:25Z
87591	2011-09-17T05:56:35Z
0	2011-09-17T04:27:36Z
87591	2011-09-17T04:02:03Z
0	2011-09-17T03:24:41Z
87591	2011-09-16T22:35:43Z
0	2011-09-16T21:10:57Z
6657615	2011-09-16T20:44:50Z
0	2011-09-16T20:32:15Z
1098639	2011-09-15T19:27:37Z
0	2011-09-15T19:15:16Z
282514	2011-09-13T16:05:43Z
0	2011-09-13T15:17:44Z
15118768	2011-09-08T14:16:27Z
1011889	2011-09-08T01:39:38Z
0	2011-09-08T01:25:21Z
6774658	2011-09-06T18:38:44Z
0	2011-09-06T18:33:57Z
1624485	2011-09-06T01:54:41Z
2353815	2011-09-06T01:35:23Z
2353815	2011-09-06T01:33:53Z
0	2011-09-05T07:28:03Z
4358889	2011-09-03T14:41:18Z
0	2011-09-03T09:06:12Z
0	2011-08-27T00:42:02Z
2943446	2011-08-26T11:21:39Z
14785433	2011-08-26T09:43:45Z
19877	2011-08-26T07:19:16Z
19877	2011-08-26T07:14:08Z
16710	2011-08-18T03:19:30Z
11555324	2011-08-16T23:24:15Z
11555324	2011-08-16T23:22:10Z
11555324	2011-08-16T23:21:00Z
203434	2011-08-16T20:48:25Z
359256	2011-08-13T12:53:55Z
301395	2011-08-13T02:21:12Z
0	2011-08-13T02:18:33Z
221276	2011-08-12T17:33:32Z
359256	2011-08-12T07:21:43Z
0	2011-08-11T22:34:59Z
7147835	2011-08-10T20:41:52Z
7320905	2011-08-08T22:42:50Z
0	2011-08-07T11:49:09Z
0	2011-08-06T11:45:20Z
0	2011-08-06T09:23:30Z
0	2011-08-05T17:43:19Z
0	2011-08-02T09:53:19Z
0	2011-08-02T03:32:02Z
7689126	2011-08-01T09:30:25Z
0	2011-08-01T08:38:41Z
0	2011-07-31T14:45:53Z
0	2011-07-29T16:45:27Z
0	2011-07-29T10:46:00Z
0	2011-07-29T10:13:13Z
5517884	2011-07-29T02:33:32Z
7301926	2011-07-28T23:14:50Z
0	2011-07-28T18:22:04Z
7689126	2011-07-28T14:25:52Z
7689126	2011-07-28T14:22:01Z
7689126	2011-07-28T14:16:55Z
14930398	2011-07-26T09:50:35Z
14930398	2011-07-26T09:49:45Z
0	2011-07-25T18:50:51Z
0	2011-07-25T18:31:58Z
0	2011-07-25T18:30:51Z
0	2011-07-25T18:29:39Z
0	2011-07-25T18:28:14Z
2943446	2011-07-25T17:43:15Z
4358889	2011-07-25T16:29:55Z
0	2011-07-25T15:25:13Z
0	2011-07-25T00:30:55Z
15005967	2011-07-24T20:53:38Z
12039949	2011-07-22T22:33:59Z
429625	2011-07-22T18:21:57Z
14993653	2011-07-22T18:18:32Z
0	2011-07-22T12:30:38Z
0	2011-07-22T12:25:48Z
0	2011-07-21T21:23:34Z
7328338	2011-07-21T16:34:31Z
271043	2011-07-21T00:56:24Z
0	2011-07-20T22:16:42Z
0	2011-07-20T01:24:31Z
0	2011-07-20T00:00:29Z
0	2011-07-19T15:11:54Z
0	2011-07-19T05:01:16Z
0	2011-07-18T22:44:50Z
0	2011-07-18T22:40:14Z
4358889	2011-07-18T01:31:57Z
0	2011-07-18T00:38:39Z
0	2011-07-17T23:55:43Z
0	2011-07-17T11:13:50Z
0	2011-07-17T11:11:41Z
0	2011-07-13T06:35:44Z
0	2011-07-13T01:29:07Z
0	2011-07-12T23:48:46Z
0	2011-07-12T22:15:10Z
1046455	2011-07-12T19:23:07Z
8423413	2011-07-12T17:43:25Z
1046455	2011-07-12T16:05:51Z
0	2011-07-12T15:38:12Z
0	2011-07-12T12:42:30Z
0	2011-07-12T03:34:37Z
3327483	2011-07-11T19:44:24Z
0	2011-07-11T13:56:56Z
0	2011-07-11T13:55:39Z
0	2011-07-11T13:54:38Z
1593792	2011-07-10T20:58:27Z
0	2011-07-10T20:34:29Z
359256	2011-07-10T05:26:39Z
0	2011-07-08T22:59:40Z
0	2011-07-08T15:52:53Z
1593792	2011-07-07T23:59:47Z
0	2011-07-07T23:32:49Z
3836508	2011-07-07T20:25:41Z
14903512	2011-07-07T14:38:49Z
14903512	2011-07-07T14:37:31Z
0	2011-07-07T11:22:10Z
0	2011-07-07T09:08:59Z
0	2011-07-06T22:21:53Z
0	2011-07-06T11:44:14Z
0	2011-07-06T06:36:38Z
0	2011-07-05T19:56:16Z
280787	2011-07-05T09:55:12Z
463669	2011-07-05T03:31:46Z
0	2011-07-04T06:54:18Z
14879065	2011-07-03T11:05:34Z
359256	2011-07-03T06:41:20Z
0	2011-07-01T10:12:53Z
4310825	2011-06-30T10:22:19Z
0	2011-06-30T00:56:13Z
0	2011-06-28T17:13:34Z
87348	2011-06-28T02:32:28Z
0	2011-06-28T02:17:25Z
0	2011-06-26T20:15:25Z
180470	2011-06-25T02:34:37Z
141011	2011-06-24T23:49:19Z
14825244	2011-06-23T22:18:17Z
0	2011-06-23T21:35:17Z
4358889	2011-06-23T21:09:31Z
0	2011-06-23T21:04:38Z
0	2011-06-22T07:53:28Z
0	2011-06-22T07:52:52Z
6657615	2011-06-22T07:02:22Z
0	2011-06-22T06:57:14Z
0	2011-06-21T12:48:18Z
0	2011-06-20T20:44:40Z
0	2011-06-20T20:41:29Z
0	2011-06-20T20:40:25Z
0	2011-06-20T20:39:27Z
4358889	2011-06-20T20:00:01Z
0	2011-06-20T19:03:06Z
0	2011-06-20T18:59:24Z
0	2011-06-20T03:32:47Z
6875001	2011-06-19T12:13:25Z
92694	2011-06-19T05:57:50Z
0	2011-06-18T15:09:24Z
0	2011-06-18T07:57:27Z
0	2011-06-17T21:07:19Z
4358889	2011-06-15T15:18:15Z
0	2011-06-15T13:34:10Z
0	2011-06-14T09:17:55Z
0	2011-06-13T20:52:22Z
11340674	2011-06-13T17:09:07Z
0	2011-06-13T13:47:35Z
4011740	2011-06-13T13:12:32Z
13843878	2011-06-11T07:58:28Z
14748432	2011-06-11T07:45:32Z
0	2011-06-10T11:42:31Z
0	2011-06-09T12:58:10Z
10996774	2011-06-07T19:53:20Z
6657615	2011-06-07T17:07:11Z
13286072	2011-06-07T16:58:59Z
0	2011-06-07T16:58:55Z
0	2011-06-07T05:59:57Z
359256	2011-06-05T21:22:38Z
433328	2011-06-05T21:09:09Z
359256	2011-06-05T21:03:08Z
3665254	2011-06-02T00:19:20Z
0	2011-06-02T00:14:29Z
0	2011-06-01T13:32:24Z
0	2011-05-31T06:09:07Z
0	2011-05-29T00:34:12Z
4358889	2011-05-28T22:07:15Z
597345	2011-05-28T21:08:18Z
0	2011-05-25T12:40:24Z
0	2011-05-23T03:10:00Z
602857	2011-05-21T23:34:41Z
1343284	2011-05-21T23:20:50Z
563447	2011-05-21T11:20:34Z
0	2011-05-21T10:45:53Z
0	2011-05-20T11:41:30Z
0	2011-05-19T19:40:29Z
4018737	2011-05-18T14:04:29Z
10996774	2011-05-18T10:21:48Z
0	2011-05-18T07:32:33Z
8066546	2011-05-17T23:00:52Z
1081894	2011-05-16T19:05:59Z
1593792	2011-05-16T16:52:30Z
0	2011-05-16T10:46:39Z
0	2011-05-12T23:54:20Z
0	2011-05-11T01:37:17Z
0	2011-05-10T19:00:17Z
0	2011-05-10T18:59:18Z
75230	2011-05-07T07:40:05Z
0	2011-05-07T07:20:18Z
5158509	2011-05-07T07:11:22Z
0	2011-05-07T01:12:23Z
0	2011-05-07T01:11:42Z
5158509	2011-05-06T03:58:32Z
